2022-05-04 16:44:35.712 DEBUG 12856 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/C:/Users/IT/AppData/Local/Temp/surefire4928790029267647145/surefirebooter2497480258421750166.jar]
2022-05-04 16:44:35.753 DEBUG 12856 --- [kground-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2022-05-04 16:44:35.768 DEBUG 12856 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2022-05-04 16:44:35.768 DEBUG 12856 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2022-05-04 16:44:35.770 DEBUG 12856 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2022-05-04 16:44:35.771 DEBUG 12856 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2022-05-04 16:44:35.771 DEBUG 12856 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2022-05-04 16:44:35.973  INFO 12856 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on DESKTOP-EV73JU0 with PID 12856 (started by IT in D:\dev\devOps\review)
2022-05-04 16:44:35.973 DEBUG 12856 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2022-05-04 16:44:35.974  INFO 12856 --- [           main] c.chicken.review.ReviewApplicationTests  : No active profile set, falling back to default profiles: default
2022-05-04 16:44:35.975 DEBUG 12856 --- [           main] o.s.boot.SpringApplication               : Loading source class com.chicken.review.ReviewApplication
2022-05-04 16:44:36.026 DEBUG 12856 --- [           main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/D:/dev/devOps/review/target/classes/application.properties' (classpath:/application.properties)
2022-05-04 16:44:36.027 DEBUG 12856 --- [           main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6f1c29b7
2022-05-04 16:44:36.058 DEBUG 12856 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2022-05-04 16:44:36.083 DEBUG 12856 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2022-05-04 16:44:36.165 DEBUG 12856 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\devOps\review\target\classes\com\chicken\review\config\ErrorConfiguration.class]
2022-05-04 16:44:36.178 DEBUG 12856 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\devOps\review\target\classes\com\chicken\review\config\StaticResourceConfiguration.class]
2022-05-04 16:44:36.185 DEBUG 12856 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\devOps\review\target\classes\com\chicken\review\config\TilesConfig.class]
2022-05-04 16:44:36.205 DEBUG 12856 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\devOps\review\target\classes\com\chicken\review\config\WebSecurityConfig.class]
